DATE,DEXJPUS
2014-06-20,102.1400
2014-06-23,101.9000
2014-06-24,102.1300
2014-06-25,101.7500
2014-06-26,101.6600
2014-06-27,101.3900
2014-06-30,101.2800
2014-07-01,101.5100
2014-07-02,101.7600
2014-07-03,102.1900
2014-07-04,.
2014-07-07,101.8400
2014-07-08,101.5300
2014-07-09,101.7000
2014-07-10,101.2600
2014-07-11,101.3300
2014-07-14,101.5800
2014-07-15,101.6200
2014-07-16,101.6900
2014-07-17,101.3000
2014-07-18,101.3700
2014-07-21,101.3400
2014-07-22,101.5400
2014-07-23,101.5000
2014-07-24,101.8200
2014-07-25,101.8100
2014-07-28,101.8200
2014-07-29,102.1200
2014-07-30,102.9000
2014-07-31,102.7500
2014-08-01,102.4500
2014-08-04,102.4700
